Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Araliaceae;Kalopanax_septemlobus;39.1643877;117.9347992;10.6;1512.5;360;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;36.8712697;218.9456787;12.7;1503.8;300;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.6077066;34.3795929;10.2;1201.1;360;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;36.13715875;1294.375;6.1;3095.4;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;42.5511666;23.99792862;7.8;1048.7;420;3;1;0;32;23
Araliaceae;Kalopanax_septemlobus;40.683157;43.39253235;9.8;1056.6;420;4;1;0;32;23
Araliaceae;Kalopanax_septemlobus;40.1102393;7.463620663;10;1261.3;340;2;1;0;32;23
Araliaceae;Kalopanax_septemlobus;43.0567681;350.6968384;5.8;1389.6;340;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;35.4751848;336.2111816;12.3;2375.5;310;3;0;1;32;23
Araliaceae;Kalopanax_septemlobus;36.7198987;377.4606323;11.7;1863.6;360;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;43.0474644;65.04675293;8.4;1142.5;400;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.7536898;52.30577087;10.1;1308.3;420;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;35.3391654;13.75069904;16.2;1624.5;324;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.8024139;7.83673811;10.2;1232.4;345;3;0;1;32;23
Araliaceae;Kalopanax_septemlobus;36.4240441;612.9022827;10.8;1208;530;3;1;1;32;23
Araliaceae;Kalopanax_septemlobus;34.8115723;602.8104858;10.4;1371.6;332;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;34.4766054;403.2530518;12.9;1367.4;328;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.6077066;34.3795929;10.2;1201.1;369;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;31.7195907;145.124588;16.5;2479.6;300;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;32.5083376;5.071190357;17.1;1940.2;440;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.52640039;473.3422852;7.6;1708.2;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;42.9960338;13.03647423;6.2;1050.5;345;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;43.0474644;65.04675293;8.4;1142.5;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;43.0474644;65.04675293;8.4;1142.5;310;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.5727332;40.17403793;10.1;1202.8;395;3;1;0;32;23
