"","basin","site","reg_rich","loc_rich","abund","HII","width","depth","temp","temp_season","precip","precip_season","Isothermality","AET","evi","region"
"53","tapajos","tapajos_45",15,5,32,-0.232645870246695,-0.295379430108088,-0.773246476827328,-0.965197036840044,0.297202951511136,-0.635575793571712,0.993173991514367,0.0709788177414081,-1.42805691936672,-0.28955408411706,"east"
"54","tapajos","tapajos_15",15,8,37,-0.434880612052562,-0.208305523945655,-0.723661249623561,-0.965197036840044,0.630056138298549,-0.35502080426235,1.10019142555402,0.185101622737397,-1.2277625585319,-0.520341748362774,"east"
"55","tapajos","tapajos_13",10,3,12,-0.710655282833877,-0.349340724064107,-0.726204079277625,-1.08847765525264,0.99185308045878,0.140076235695349,1.42124372767299,-0.0431439872545809,-1.11330863805486,-0.158005115497003,"east"
"56","tapajos","tapajos_41",10,7,39,-1.15189473755193,-0.33554380235078,0.281393178106767,-0.718635800014862,1.07868434657723,0.0300546712603049,1.52826116171265,-0.727880817230514,-1.59973780008228,-2.67359065577528,"east"
"57","tapajos","tapajos_17",14,6,29,-1.17027971648649,-0.208918720529202,-0.579991227320388,-1.08847765525264,0.933965569713142,-0.514552072693163,0.993173991514367,0.185101622737397,-1.28498951877042,-0.725742769541459,"east"
"58","tapajos","tapajos_7",9,4,30,-1.17027971648649,-0.198494379620675,-0.689333014329755,-1.08847765525264,0.861606181281096,-0.211992770496792,1.20720885959368,0.185101622737397,-1.11330863805486,-0.391100656385174,"east"
"60","tapajos","tapajos_11",11,6,46,-1.20704967435563,-0.125523993463341,0.416798993545048,-0.965197036840044,0.876078058967505,0.338115051678428,1.52826116171265,-0.0431439872545809,-0.955934497398932,-0.614964690703517,"east"
"61","tapajos","tapajos_22",14,5,19,-1.97921872342151,-0.368349816265422,-0.814567500662599,-0.965197036840044,0.499809239120865,-0.872122157107057,0.886156557474711,0.185101622737397,-1.42805691936672,0.248181173575453,"east"
"62","tapajos","tapajos_24",14,7,27,-2.55918119017904,-0.349156765156494,-0.0924031551548216,-0.841916418427455,0.60111238292573,-0.850117844220048,0.886156557474711,0.185101622737397,-1.42805691936672,-0.0564585432288895,"east"
"63","xingu","carajas_3",7,5,37,1.09107250714463,-0.346887937999725,0.795680989611159,-2.93768693144151,-2.82872262875326,-0.663081184680473,0.779139123435055,2.01106650267322,-0.698413176325593,0.58051541008928,"east"
"64","xingu","kaxiuana_19",13,5,18,1.03591758357812,-0.134415343047903,0.508976659411118,0.39088976569846,-0.918434774147239,0.882721795631897,-0.291035216961503,0.299224427733386,0.861021490174072,0.352035622486024,"east"
"65","xingu","kaxiuana_20",13,3,4,1.03591758357812,-0.151278247409159,0.84463050940141,0.514170384111054,-1.1789285725026,0.833212091636127,-0.291035216961503,0.299224427733386,0.861021490174072,0.148942477949796,"east"
"66","xingu","carajas_1",7,3,9,-0.0120261362690789,-0.435249556852704,0.550933390659904,-4.04721249715483,-2.39456629816098,-0.558560698467181,0.779139123435055,2.01106650267322,-0.755640136564113,1.53366846342408,"east"
"67","xingu","kaxiuana_10",13,2,7,-0.0120261362690789,0.179234678071452,0.19629911612695,0.514170384111054,-1.35259110473952,0.794704544083862,-0.184017782921847,0.299224427733386,0.775181049816292,0.915157523245565,"east"
"68","xingu","kaxiuana_14",14,2,9,-0.0120261362690789,2.87729937587236,-0.382603879625595,0.39088976569846,-0.932906651833649,0.899225030297154,-0.291035216961503,0.185101622737397,0.889634970293332,0.882847250251165,"east"
"69","xingu","kaxiuana_2",6,3,10,-0.0120261362690789,-0.265945997065697,0.376113677123294,0.39088976569846,-0.759244119596737,1.08076061161498,0.244051953236776,0.185101622737397,0.474739508564063,0.679754105714937,"east"
"70","xingu","kaxiuana_3",5,5,10,-0.0120261362690789,-0.370496004105483,-0.608470949514895,0.39088976569846,-1.19340045018901,1.06425737694972,0.351069387276432,0.299224427733386,0.489046248623693,1.28903353932362,"east"
"71","xingu","kaxiuana_4",12,1,3,-0.0120261362690789,1.86552511419702,0.331160036000109,0.514170384111054,-1.35259110473952,0.794704544083862,-0.184017782921847,0.299224427733386,0.775181049816292,0.538973630525052,"east"
"72","xingu","kaxiuana_7",6,2,3,-0.0120261362690789,-0.18500405613167,-0.722803042167839,0.39088976569846,-0.759244119596737,1.08076061161498,0.244051953236776,0.185101622737397,0.474739508564063,0.679754105714937,"east"
"73","xingu","kaxiuana_8",13,1,1,-0.0120261362690789,-0.39410407021124,-0.608704043631742,0.39088976569846,-1.19340045018901,0.849715326301384,-0.291035216961503,0.299224427733386,0.846714750114442,0.730527391848994,"east"
"74","xingu","kaxiuana_9",12,3,6,-0.0120261362690789,-0.414339555444747,-0.579567422378044,0.514170384111054,-1.26575983862106,0.849715326301384,-0.184017782921847,0.299224427733386,0.832408010054812,0.444350688184309,"east"
"75","xingu","carajas_2",7,4,34,-0.563575464594527,-0.437947621550505,-0.358129119730469,-3.43080940509188,-2.62611634114353,-0.624573637128208,0.779139123435055,2.01106650267322,-0.755640136564113,1.18979484369796,"east"
"76","xingu","kaxiuana_12",14,2,10,-0.83935012213866,6.24988024812349,0.585897333367226,0.39088976569846,-0.932906651833649,0.899225030297154,-0.291035216961503,0.185101622737397,0.889634970293332,0.882847250251165,"east"
"77","xingu","kaxiuana_13",14,2,6,-0.83935012213866,2.87729937587236,-0.697279363991493,0.514170384111054,-0.932906651833649,0.91572826496241,-0.291035216961503,0.185101622737397,0.903941710352962,0.760529788200937,"east"
"78","xingu","kaxiuana_11",14,2,3,-1.11512477968279,2.87729937587236,-0.193798589006056,0.514170384111054,-1.13551293944338,0.827711013414375,-0.291035216961503,0.185101622737397,0.818101269995182,0.148942477949796,"east"
"79","xingu","kaxiuana_15",14,1,3,-1.11512477968279,-0.237616317738788,-0.903566625964694,0.514170384111054,-0.932906651833649,0.822209935192623,-0.291035216961503,0.185101622737397,0.789487789875922,0.289722953139681,"east"
"80","xingu","kaxiuana_16",12,3,7,-1.11512477968279,0.718847617631634,-0.655322632742707,0.39088976569846,-0.73030036422392,0.827711013414375,-0.184017782921847,0.185101622737397,0.760874309756662,0.414348291832366,"east"
"81","xingu","kaxiuana_17",8,1,1,-1.11512477968279,2.20278320142213,-0.099395943696286,0.514170384111054,-0.759244119596737,0.767199152975101,-0.184017782921847,0.185101622737397,0.675033869398882,-0.0126088870222039,"east"
"82","xingu","kaxiuana_18",12,1,1,-1.11512477968279,0.966395053654867,-0.515466861913419,0.514170384111054,-0.817131630342374,0.789203465862109,-0.184017782921847,0.185101622737397,0.732260829637402,0.0104698794023675,"east"
"83","xingu","kaxiuana_6",6,4,8,-1.11512477968279,-0.169265345416982,-0.198693540985081,0.514170384111054,-0.71582848653751,1.08076061161498,0.244051953236776,0.185101622737397,0.474739508564063,0.982085945876822,"east"
"84","xingu","kaxiuana_5",12,3,4,-2.43884315707412,-0.404221812827994,-0.808289882087241,0.514170384111054,-1.26575983862106,0.849715326301384,-0.184017782921847,0.299224427733386,0.832408010054812,0.444350688184309,"east"
